Timestamp(UTC)	LONGITUDE(deg)	LATITUDE(deg)	STATION(-)	ozone(ppm)
2006-07-03T22:00:00-0000	-71.3617	41.8403	440071010	0.057
2006-07-03T22:00:00-0000	-71.2900	44.3700	330074002	0.039
2006-07-03T22:00:00-0000	-71.2514	45.3733	54901	0.034
2006-07-03T22:00:00-0000	-71.2208	46.8214	50308	0.029
2006-07-03T22:00:00-0000	-71.1144	42.2117	250213003	0.031
2006-07-03T22:00:00-0000	-71.1028	42.7708	250095005	0.063
2006-07-03T22:00:00-0000	-71.0825	42.3294	250250042	0.051
2006-07-03T22:00:00-0000	-70.9720	42.4747	250092006	0.074
2006-07-03T22:00:00-0000	-70.9689	42.3172	250250041	0.064
2006-07-03T22:00:00-0000	-70.8797	41.6356	250051002	0.071
2006-07-03T22:00:00-0000	-70.8644	47.0147	53501	0.028
2006-07-03T22:00:00-0000	-70.8597	45.8156	53701	0.036
2006-07-03T22:00:00-0000	-70.8555	44.2222	230173001	0.024
2006-07-03T22:00:00-0000	-70.8089	42.7903	250094004	0.072
2006-07-03T22:00:00-0000	-70.7858	41.3306	250070001	0.063
2006-07-03T22:00:00-0000	-70.7619	43.0825	330150014	0.07
2006-07-03T22:00:00-0000	-70.7500	43.0833	230313002	-9999
2006-07-03T22:00:00-0000	-70.7458	43.0022	330150016	0.072
2006-07-03T22:00:00-0000	-70.6203	43.6267	230310038	0.047
2006-07-03T22:00:00-0000	-70.4714	43.3431	230312002	0.064
2006-07-03T22:00:00-0000	-70.4528	46.8508	53601	0.027
2006-07-03T22:00:00-0000	-70.2078	43.5608	230052003	0.059
2006-07-03T22:00:00-0000	-70.0239	41.9756	250010002	0.068
2006-07-03T22:00:00-0000	-69.7856	44.2303	230112005	0.041
2006-07-03T22:00:00-0000	-69.7314	43.7933	230230004	0.054
2006-07-03T22:00:00-0000	-69.2619	43.9175	230130004	0.048
2006-07-03T22:00:00-0000	-68.8056	44.4228	230090301	0.045
2006-07-03T22:00:00-0000	-68.7086	45.2172	230194007	0.029
2006-07-03T22:00:00-0000	-68.6717	44.7364	230194008	0.031
2006-07-03T22:00:00-0000	-68.6475	44.9519	230191100	0.026
2006-07-03T22:00:00-0000	-68.4119	46.6050	230038001	0.029
2006-07-03T22:00:00-0000	-68.2608	44.3770	230090103	0.045
2006-07-03T22:00:00-0000	-68.0331	46.6964	230031100	0.028
2006-07-03T22:00:00-0000	-67.8300	47.1578	40002	0.031
2006-07-03T22:00:00-0000	-67.5936	44.5339	230290019	0.045
2006-07-03T22:00:00-0000	-67.4778	45.9533	40801	0.02
2006-07-03T22:00:00-0000	-67.0786	45.0892	40901	0.025
2006-07-03T22:00:00-0000	-67.0622	44.9622	230290031	0.036
2006-07-03T22:00:00-0000	-66.6475	45.9578	40103	0.028
2006-07-03T22:00:00-0000	-66.5611	45.6042	40601	0.02
2006-07-03T22:00:00-0000	-66.4664	45.0750	40501	0.041
2006-07-03T22:00:00-0000	-66.0833	43.8333	30801	0.034
2006-07-03T22:00:00-0000	-66.0803	45.2536	40207	0.024
2006-07-03T22:00:00-0000	-66.0614	45.2697	40206	0.028
2006-07-03T22:00:00-0000	-66.0092	45.3092	40203	0.024
2006-07-03T23:00:00-0000	-124.9250	41.3297	69990042	0.04
2006-07-03T23:00:00-0000	-124.9100	40.8033	69990041	0.04
2006-07-03T23:00:00-0000	-124.6997	39.9656	69990040	0.04
2006-07-03T23:00:00-0000	-124.6847	41.9283	69990043	0.04
2006-07-03T23:00:00-0000	-124.2942	39.2953	69990039	0.04
2006-07-03T23:00:00-0000	-124.1739	38.8406	69990038	0.04
2006-07-03T23:00:00-0000	-123.9939	49.2008	100031	0.036
2006-07-03T23:00:00-0000	-123.8286	40.9947	69990045	0.04
2006-07-03T23:00:00-0000	-123.6483	38.3019	69990037	0.04
2006-07-03T23:00:00-0000	-123.5281	39.9894	69990044	0.04
2006-07-03T23:00:00-0000	-123.4686	48.4300	100019	0.047
2006-07-03T23:00:00-0000	-123.4428	48.5803	100044	0.038
2006-07-03T23:00:00-0000	-123.3583	48.4292	100021	0.027
2006-07-03T23:00:00-0000	-123.3328	47.2411	539990001	0.001
2006-07-03T23:00:00-0000	-123.1636	49.2611	110118	0.043
2006-07-03T23:00:00-0000	-123.1544	49.7064	100003	0.041
2006-07-03T23:00:00-0000	-123.1333	48.7833	102001	0.041
2006-07-03T23:00:00-0000	-123.0978	47.0528	539990002	0.001
2006-07-03T23:00:00-0000	-123.0822	44.0264	410390060	0.055
2006-07-03T23:00:00-0000	-123.0775	41.7606	69990046	0.04
2006-07-03T23:00:00-0000	-123.0358	43.8328	410391007	0.053
2006-07-03T23:00:00-0000	-123.0000	38.0000	69990050	0.04
2006-07-03T23:00:00-0000	-122.9903	46.7919	539990003	0.001
2006-07-03T23:00:00-0000	-122.9825	49.2156	110119	0.045
2006-07-03T23:00:00-0000	-122.9711	49.2794	110110	0.047
2006-07-03T23:00:00-0000	-122.9333	37.8333	69990051	0.04
2006-07-03T23:00:00-0000	-122.9222	39.0314	60333001	0.034
2006-07-03T23:00:00-0000	-122.9150	44.8103	410470004	0.062
2006-07-03T23:00:00-0000	-122.8497	49.2819	110111	0.049
2006-07-03T23:00:00-0000	-122.8333	37.8000	69990052	0.04
2006-07-03T23:00:00-0000	-122.7881	42.2300	410290201	0.046
2006-07-03T23:00:00-0000	-122.7719	45.7686	410090004	0.025
2006-07-03T23:00:00-0000	-122.7500	37.5833	69990053	0.04
2006-07-03T23:00:00-0000	-122.7172	41.0544	69990057	0.04
2006-07-03T23:00:00-0000	-122.7097	38.4430	60970003	0.027
2006-07-03T23:00:00-0000	-122.7000	37.4167	69990054	0.04
2006-07-03T23:00:00-0000	-122.6722	36.9256	69990036	0.04
2006-07-03T23:00:00-0000	-122.6667	37.3333	69990055	0.04
2006-07-03T23:00:00-0000	-122.6381	45.4430	410052002	0.04
2006-07-03T23:00:00-0000	-122.6031	45.4967	410510080	0.035
2006-07-03T23:00:00-0000	-122.6000	37.2500	69990056	0.04
2006-07-03T23:00:00-0000	-122.5869	45.2592	410050004	0.051
2006-07-03T23:00:00-0000	-122.5664	49.0961	111301	0.05
2006-07-03T23:00:00-0000	-122.5542	48.9505	530730005	0.044
2006-07-03T23:00:00-0000	-122.5189	37.9722	60410001	0.025
2006-07-03T23:00:00-0000	-122.5164	45.6164	530110011	0.042
2006-07-03T23:00:00-0000	-122.4769	36.5906	69990035	0.04
2006-07-03T23:00:00-0000	-122.3978	37.7658	60750005	0.025
2006-07-03T23:00:00-0000	-122.3572	37.9603	60131004	0.023
2006-07-03T23:00:00-0000	-122.3267	36.2314	69990034	0.04
2006-07-03T23:00:00-0000	-122.3117	46.8447	530531008	0.049
2006-07-03T23:00:00-0000	-122.2950	38.3108	60550003	0.036
2006-07-03T23:00:00-0000	-122.2367	38.1022	60950004	0.028
2006-07-03T23:00:00-0000	-122.2264	49.0428	111003	0.053
2006-07-03T23:00:00-0000	-122.2022	37.4828	60811001	0.029
2006-07-03T23:00:00-0000	-122.1903	39.5175	60210002	0.052
2006-07-03T23:00:00-0000	-122.1161	37.7097	60010006	0.03
2006-07-03T23:00:00-0000	-122.0928	40.2622	61030004	0.042
2006-07-03T23:00:00-0000	-122.0644	47.5525	530330010	0.047
2006-07-03T23:00:00-0000	-122.0528	38.2453	60950002	0.037
2006-07-03T23:00:00-0000	-122.0511	37.3556	60852007	0.031
2006-07-03T23:00:00-0000	-122.0317	37.6547	60012001	0.031
2006-07-03T23:00:00-0000	-122.0169	39.2031	60111002	0.049
2006-07-03T23:00:00-0000	-121.9786	37.2267	60851001	0.036
2006-07-03T23:00:00-0000	-121.9617	38.3525	60953002	0.038
2006-07-03T23:00:00-0000	-121.9608	37.5356	60011001	0.034
2006-07-03T23:00:00-0000	-121.9511	35.9322	69990033	0.04
2006-07-03T23:00:00-0000	-121.9406	49.1561	111101	0.055
2006-07-03T23:00:00-0000	-121.9378	47.1408	530330023	0.07
2006-07-03T23:00:00-0000	-121.9211	41.6169	69990047	0.04
2006-07-03T23:00:00-0000	-121.8961	38.0289	60133001	0.046
2006-07-03T23:00:00-0000	-121.8947	37.3483	60850005	0.038
2006-07-03T23:00:00-0000	-121.8422	39.7575	60070002	0.045
2006-07-03T23:00:00-0000	-121.8161	35.5492	69990032	0.04
2006-07-03T23:00:00-0000	-121.7831	37.6869	60010007	0.04
2006-07-03T23:00:00-0000	-121.7750	38.5333	61130004	0.045
2006-07-03T23:00:00-0000	-121.7725	47.4900	530330017	0.06
2006-07-03T23:00:00-0000	-121.7500	39.1583	61010004	0.039
2006-07-03T23:00:00-0000	-121.7328	46.7853	530530012	0.051
2006-07-03T23:00:00-0000	-121.7278	38.6619	61131003	0.052
2006-07-03T23:00:00-0000	-121.6508	41.0306	69990058	0.04
2006-07-03T23:00:00-0000	-121.6411	38.0067	60131002	0.054
2006-07-03T23:00:00-0000	-121.6175	39.1386	61010003	0.041
2006-07-03T23:00:00-0000	-121.6044	39.7564	60070007	0.052
2006-07-03T23:00:00-0000	-121.5994	37.0792	60852006	0.053
2006-07-03T23:00:00-0000	-121.5764	40.5403	60893003	0.05
2006-07-03T23:00:00-0000	-121.5739	36.9994	60850002	0.064
2006-07-03T23:00:00-0000	-121.4919	38.5583	60670010	0.048
2006-07-03T23:00:00-0000	-121.4306	48.1181	530570013	0.05
2006-07-03T23:00:00-0000	-121.4222	38.3019	60670011	0.057
2006-07-03T23:00:00-0000	-121.4106	35.3458	69990031	0.04
2006-07-03T23:00:00-0000	-121.3800	38.7128	60670002	0.041
2006-07-03T23:00:00-0000	-121.3669	38.6142	60670006	0.042
2006-07-03T23:00:00-0000	-121.2753	35.0106	69990030	0.04
2006-07-03T23:00:00-0000	-121.2675	37.9508	60771002	0.055
2006-07-03T23:00:00-0000	-121.2653	38.7458	60610006	0.047
2006-07-03T23:00:00-0000	-121.2100	38.4947	60675003	0.044
2006-07-03T23:00:00-0000	-121.1628	38.6839	60670012	0.048
2006-07-03T23:00:00-0000	-121.1556	36.4850	60690003	0.058
2006-07-03T23:00:00-0000	-121.1039	38.9378	60610002	0.057
2006-07-03T23:00:00-0000	-121.0800	40.9470	69990059	0.04
2006-07-03T23:00:00-0000	-121.0556	39.2344	60570005	0.05
2006-07-03T23:00:00-0000	-121.0200	41.7008	69990048	0.04
2006-07-03T23:00:00-0000	-121.0000	38.8906	60170020	0.044
2006-07-03T23:00:00-0000	-120.9997	45.6644	530390003	0.051
2006-07-03T23:00:00-0000	-120.9936	37.6583	60990005	0.046
2006-07-03T23:00:00-0000	-120.9528	39.1003	60610004	0.044
2006-07-03T23:00:00-0000	-120.9000	34.4722	69990029	0.04
2006-07-03T23:00:00-0000	-120.8444	39.3167	60570007	0.054
2006-07-03T23:00:00-0000	-120.8358	37.4883	60990006	0.049
2006-07-03T23:00:00-0000	-120.8181	38.7272	60170010	0.044
2006-07-03T23:00:00-0000	-120.7625	38.3400	60050002	0.038
2006-07-03T23:00:00-0000	-120.6900	35.6317	60790005	0.043
2006-07-03T23:00:00-0000	-120.6806	38.2019	60090001	0.048
2006-07-03T23:00:00-0000	-120.6542	35.2839	60792002	0.032
2006-07-03T23:00:00-0000	-120.6303	34.5961	60834003	0.034
2006-07-03T23:00:00-0000	-120.4644	40.0731	69990061	0.04
2006-07-03T23:00:00-0000	-120.4567	34.6378	60832004	0.033
2006-07-03T23:00:00-0000	-120.4494	34.1369	69990028	0.04
2006-07-03T23:00:00-0000	-120.4344	34.9481	60831008	0.029
2006-07-03T23:00:00-0000	-120.4336	37.2817	60470003	0.055
2006-07-03T23:00:00-0000	-120.4278	34.7256	60831013	0.037
2006-07-03T23:00:00-0000	-120.3786	37.9817	61090005	0.043
2006-07-03T23:00:00-0000	-120.2992	41.6408	69990049	0.04
2006-07-03T23:00:00-0000	-120.2692	40.8272	69990060	0.04
2006-07-03T23:00:00-0000	-120.1956	34.5275	60831018	0.034
2006-07-03T23:00:00-0000	-120.0708	34.6028	60833001	0.041
2006-07-03T23:00:00-0000	-120.0500	34.5300	69990107	0.055
2006-07-03T23:00:00-0000	-120.0458	34.4897	60831025	0.072
2006-07-03T23:00:00-0000	-120.0244	34.4625	60830008	0.042
2006-07-03T23:00:00-0000	-120.0100	36.8669	60390004	0.051
2006-07-03T23:00:00-0000	-119.9564	39.2517	320312002	0.045
2006-07-03T23:00:00-0000	-119.9000	34.5250	69990108	0.055
2006-07-03T23:00:00-0000	-119.8744	36.8414	60190242	0.064
2006-07-03T23:00:00-0000	-119.8486	34.0892	69990027	0.04
2006-07-03T23:00:00-0000	-119.8436	37.5500	60430006	0.057
2006-07-03T23:00:00-0000	-119.8364	39.6467	320312009	0.048
2006-07-03T23:00:00-0000	-119.8278	34.4453	60832011	0.046
2006-07-03T23:00:00-0000	-119.8078	39.5253	320310016	0.048
2006-07-03T23:00:00-0000	-119.7906	34.5414	60831014	0.061
2006-07-03T23:00:00-0000	-119.7722	36.7814	60190008	0.071
2006-07-03T23:00:00-0000	-119.7717	39.4708	320310020	0.051
2006-07-03T23:00:00-0000	-119.7436	39.5411	320311005	0.053
2006-07-03T23:00:00-0000	-119.7414	36.7056	60190007	0.055
2006-07-03T23:00:00-0000	-119.7394	39.3997	320310025	0.049
2006-07-03T23:00:00-0000	-119.7164	36.8192	60195001	0.053
2006-07-03T23:00:00-0000	-119.7061	37.7133	60430003	-9999
2006-07-03T23:00:00-0000	-119.6911	34.5000	69990109	0.055
2006-07-03T23:00:00-0000	-119.6903	34.4275	60830011	0.03
2006-07-03T23:00:00-0000	-119.6900	35.0544	69990105	0.055
2006-07-03T23:00:00-0000	-119.6600	34.8000	69990106	0.055
2006-07-03T23:00:00-0000	-119.6436	36.3145	60311004	0.06
2006-07-03T23:00:00-0000	-119.6083	38.2419	69990013	0.04
2006-07-03T23:00:00-0000	-119.6000	34.4900	69990110	0.055
2006-07-03T23:00:00-0000	-119.5853	35.7703	68880021	0.068
2006-07-03T23:00:00-0000	-119.5500	34.0333	69990002	0.04
2006-07-03T23:00:00-0000	-119.5483	34.1250	69990026	0.04
2006-07-03T23:00:00-0000	-119.5036	36.5975	60194001	0.093
2006-07-03T23:00:00-0000	-119.4750	49.8611	100005	0.05
2006-07-03T23:00:00-0000	-119.4625	49.0000	100049	0.042
2006-07-03T23:00:00-0000	-119.4575	34.4028	60831021	0.052
2006-07-03T23:00:00-0000	-119.4417	34.3583	68880024	0.032
2006-07-03T23:00:00-0000	-119.4167	33.8667	69990003	0.04
2006-07-03T23:00:00-0000	-119.4131	33.9575	69990025	0.04
2006-07-03T23:00:00-0000	-119.4039	35.0544	60290008	0.06
2006-07-03T23:00:00-0000	-119.3136	34.2900	61112003	0.032
2006-07-03T23:00:00-0000	-119.3000	34.3917	68880032	0.109
2006-07-03T23:00:00-0000	-119.2903	36.3322	61072002	0.075
2006-07-03T23:00:00-0000	-119.2717	35.5036	60296001	0.068
2006-07-03T23:00:00-0000	-119.2475	37.8950	69990014	0.04
2006-07-03T23:00:00-0000	-119.2458	34.4167	61111004	0.109
2006-07-03T23:00:00-0000	-119.2333	34.2000	68880022	0.032
2006-07-03T23:00:00-0000	-119.2000	33.7500	69990004	0.04
2006-07-03T23:00:00-0000	-119.1750	34.4333	68880031	0.109
2006-07-03T23:00:00-0000	-119.1336	34.2653	61113001	0.042
2006-07-03T23:00:00-0000	-119.1333	34.1083	68880023	0.032
2006-07-03T23:00:00-0000	-119.0583	34.3500	68880026	0.067
2006-07-03T23:00:00-0000	-119.0403	35.3561	60290014	0.073
2006-07-03T23:00:00-0000	-119.0375	33.8378	69990024	0.04
2006-07-03T23:00:00-0000	-119.0167	34.2167	68880025	0.042
2006-07-03T23:00:00-0000	-119.0158	35.4389	60290232	0.07
2006-07-03T23:00:00-0000	-119.0147	35.3853	60290010	0.064
2006-07-03T23:00:00-0000	-118.9417	34.1833	68880027	0.062
2006-07-03T23:00:00-0000	-118.9167	34.4000	68880034	0.093
2006-07-03T23:00:00-0000	-118.9000	33.7500	69990005	0.04
2006-07-03T23:00:00-0000	-118.8750	34.2750	68880030	0.075
2006-07-03T23:00:00-0000	-118.8694	34.2100	61110007	0.062
2006-07-03T23:00:00-0000	-118.8517	34.7961	68880016	0.065
2006-07-03T23:00:00-0000	-118.8511	35.3461	60290007	0.07
2006-07-03T23:00:00-0000	-118.8272	37.4642	69990015	0.04
2006-07-03T23:00:00-0000	-118.8269	36.4894	61070009	-9999
2006-07-03T23:00:00-0000	-118.8250	34.1500	68880028	0.062
2006-07-03T23:00:00-0000	-118.8100	34.4044	61110009	0.093
2006-07-03T23:00:00-0000	-118.8017	34.0147	68880015	0.06
2006-07-03T23:00:00-0000	-118.7917	34.2667	68880029	0.089
2006-07-03T23:00:00-0000	-118.7844	35.2083	60295001	0.083
2006-07-03T23:00:00-0000	-118.7772	36.5672	61070006	0.079
2006-07-03T23:00:00-0000	-118.7333	34.4083	68880033	0.093
2006-07-03T23:00:00-0000	-118.7000	33.6167	69990007	0.04
2006-07-03T23:00:00-0000	-118.6847	34.2775	61112002	0.089
2006-07-03T23:00:00-0000	-118.6667	33.7833	69990006	0.04
2006-07-03T23:00:00-0000	-118.6469	37.1889	69990016	0.04
2006-07-03T23:00:00-0000	-118.5833	33.5000	69990008	0.04
2006-07-03T23:00:00-0000	-118.5331	34.1992	60371201	0.066
2006-07-03T23:00:00-0000	-118.5281	34.3831	60376012	0.082
2006-07-03T23:00:00-0000	-118.4553	34.0506	60370113	0.054
2006-07-03T23:00:00-0000	-118.4389	33.9517	60375005	0.05
2006-07-03T23:00:00-0000	-118.4167	33.4167	69990009	0.04
2006-07-03T23:00:00-0000	-118.3617	36.9256	69990017	0.04
2006-07-03T23:00:00-0000	-118.3158	34.1764	60371002	0.061
2006-07-03T23:00:00-0000	-118.2500	33.3333	69990010	0.04
2006-07-03T23:00:00-0000	-118.2417	34.0669	60371103	0.042
2006-07-03T23:00:00-0000	-118.2267	36.5186	69990018	0.04
2006-07-03T23:00:00-0000	-118.2094	33.9292	60371301	0.041
2006-07-03T23:00:00-0000	-118.1883	33.8233	60374002	0.023
2006-07-03T23:00:00-0000	-118.1825	34.4828	68880017	0.065
2006-07-03T23:00:00-0000	-118.1464	35.0506	60290011	0.079
2006-07-03T23:00:00-0000	-118.1319	34.6900	60379002	0.102
2006-07-03T23:00:00-0000	-118.1081	34.0833	60372005	0.056
2006-07-03T23:00:00-0000	-118.1081	34.3211	68880014	0.036
2006-07-03T23:00:00-0000	-118.0764	36.1956	69990019	0.04
2006-07-03T23:00:00-0000	-118.0592	34.0130	60371601	0.042
2006-07-03T23:00:00-0000	-118.0581	33.7986	68880003	0.028
2006-07-03T23:00:00-0000	-118.0217	33.9667	68880001	0.041
2006-07-03T23:00:00-0000	-118.0000	33.2500	69990011	0.04
2006-07-03T23:00:00-0000	-117.9506	33.9258	60595001	0.042
2006-07-03T23:00:00-0000	-117.9294	33.6745	60591003	0.031
2006-07-03T23:00:00-0000	-117.9228	34.1356	60370002	0.053
2006-07-03T23:00:00-0000	-117.9131	33.8200	60590007	0.041
2006-07-03T23:00:00-0000	-117.9122	34.3211	68880002	0.069
2006-07-03T23:00:00-0000	-117.9089	34.5064	68880018	0.049
2006-07-03T23:00:00-0000	-117.8508	34.1439	60370016	0.061
2006-07-03T23:00:00-0000	-117.7608	33.5400	68880004	0.027
2006-07-03T23:00:00-0000	-117.7506	34.0667	60371701	0.06
2006-07-03T23:00:00-0000	-117.7500	33.1667	69990012	0.04
2006-07-03T23:00:00-0000	-117.6861	34.0069	68880010	0.055
2006-07-03T23:00:00-0000	-117.6733	34.0986	60711004	0.074
2006-07-03T23:00:00-0000	-117.6525	33.5017	68880005	0.044
2006-07-03T23:00:00-0000	-117.6517	33.6125	60592022	0.049
2006-07-03T23:00:00-0000	-117.5833	33.1667	69990102	0.04
2006-07-03T23:00:00-0000	-117.5631	34.4261	60710012	0.073
2006-07-03T23:00:00-0000	-117.5511	33.9256	68880006	0.063
2006-07-03T23:00:00-0000	-117.5303	33.9717	60650004	0.068
2006-07-03T23:00:00-0000	-117.5047	34.0994	60712002	0.083
2006-07-03T23:00:00-0000	-117.5000	32.9167	69990103	0.04
2006-07-03T23:00:00-0000	-117.4556	34.2989	68880013	0.059
2006-07-03T23:00:00-0000	-117.4258	34.0103	60658001	0.075
2006-07-03T23:00:00-0000	-117.4167	32.5833	69990104	0.04
2006-07-03T23:00:00-0000	-117.3967	33.2172	60731008	0.035
2006-07-03T23:00:00-0000	-117.3667	35.7750	60711234	0.062
2006-07-03T23:00:00-0000	-117.3358	33.6747	60659001	0.06
2006-07-03T23:00:00-0000	-117.3300	34.5125	60710014	0.077
2006-07-03T23:00:00-0000	-117.3025	34.4192	68880020	0.088
2006-07-03T23:00:00-0000	-117.2847	34.4181	60714001	0.096
2006-07-03T23:00:00-0000	-117.2742	34.2436	60710005	0.11
2006-07-03T23:00:00-0000	-117.2742	47.8269	530630046	0.056
2006-07-03T23:00:00-0000	-117.2731	34.1072	60719004	0.094
2006-07-03T23:00:00-0000	-117.2633	32.9525	60731001	0.034
2006-07-03T23:00:00-0000	-117.2419	33.7914	60656001	0.05
2006-07-03T23:00:00-0000	-117.1594	34.0603	60714003	0.108
2006-07-03T23:00:00-0000	-117.1542	32.7153	60731010	0.035
2006-07-03T23:00:00-0000	-117.1333	32.8286	60730006	0.035
2006-07-03T23:00:00-0000	-117.0742	33.1278	60731002	0.054
2006-07-03T23:00:00-0000	-117.0561	32.6228	60730001	0.043
2006-07-03T23:00:00-0000	-116.9417	32.7914	60730003	0.038
2006-07-03T23:00:00-0000	-116.9375	32.5519	60732007	0.031
2006-07-03T23:00:00-0000	-116.8733	33.9278	60650012	0.07
2006-07-03T23:00:00-0000	-116.8481	36.5092	60270101	0.065
2006-07-03T23:00:00-0000	-116.8456	34.2664	68880012	0.046
2006-07-03T23:00:00-0000	-116.8044	47.7889	160550003	-9999
2006-07-03T23:00:00-0000	-116.7500	32.8333	60731006	0.063
2006-07-03T23:00:00-0000	-116.6722	33.1092	69990101	0.04
2006-07-03T23:00:00-0000	-116.6328	33.2822	69990100	0.04
2006-07-03T23:00:00-0000	-116.5400	33.8497	60655001	0.076
2006-07-03T23:00:00-0000	-116.2233	43.5894	160010030	0.081
2006-07-03T23:00:00-0000	-116.2097	33.7097	60652002	0.051
2006-07-03T23:00:00-0000	-115.8022	35.9344	329990108	0.04
2006-07-03T23:00:00-0000	-115.8022	36.2036	329990107	0.04
2006-07-03T23:00:00-0000	-115.7786	35.4175	69990020	0.04
2006-07-03T23:00:00-0000	-115.6225	33.0325	60254003	0.071
2006-07-03T23:00:00-0000	-115.5617	32.7917	60251003	0.06
2006-07-03T23:00:00-0000	-115.5444	33.2136	60254004	0.059
2006-07-03T23:00:00-0000	-115.5031	32.6739	60250004	0.045
2006-07-03T23:00:00-0000	-115.4833	32.6761	60250005	0.033
2006-07-03T23:00:00-0000	-115.4108	33.9397	60650008	0.054
2006-07-03T23:00:00-0000	-115.3897	32.6778	60250006	0.027
2006-07-03T23:00:00-0000	-115.3400	35.7800	320031019	0.065
2006-07-03T23:00:00-0000	-115.3314	36.1731	320030073	0.072
2006-07-03T23:00:00-0000	-115.2664	36.2247	320030072	0.066
2006-07-03T23:00:00-0000	-115.2611	36.1700	320030071	0.068
2006-07-03T23:00:00-0000	-115.2536	36.1078	320030043	0.066
2006-07-03T23:00:00-0000	-115.2528	34.9867	69990021	0.04
2006-07-03T23:00:00-0000	-115.2383	36.2725	320030075	0.054
2006-07-03T23:00:00-0000	-115.1297	36.1203	320031021	0.06
2006-07-03T23:00:00-0000	-115.1219	36.1911	320032002	0.064
2006-07-03T23:00:00-0000	-115.0919	35.0997	329990110	0.04
2006-07-03T23:00:00-0000	-115.0919	36.2453	320030020	0.056
2006-07-03T23:00:00-0000	-115.0919	36.7397	329990109	0.04
2006-07-03T23:00:00-0000	-115.0544	36.1439	320030538	0.06
2006-07-03T23:00:00-0000	-114.9972	36.0347	320030007	0.054
2006-07-03T23:00:00-0000	-114.9064	36.3906	320030022	0.062
2006-07-03T23:00:00-0000	-114.8472	33.7419	69990023	0.04
2006-07-03T23:00:00-0000	-114.8442	35.9786	320030601	0.061
2006-07-03T23:00:00-0000	-114.7272	34.3644	69990022	0.04
2006-07-03T23:00:00-0000	-114.3814	35.9344	329990106	0.04
2006-07-03T23:00:00-0000	-114.3814	36.2036	329990105	0.04
2006-07-03T23:00:00-0000	-114.2158	39.0053	320330101	0.061
2006-07-03T23:00:00-0000	-114.0608	36.8097	320030023	0.061
2006-07-03T23:00:00-0000	-113.9956	48.5103	300298001	0.043
2006-07-03T23:00:00-0000	-113.5622	43.4606	160230101	0.031
2006-07-03T23:00:00-0000	-113.1667	33.0000	49990116	0.04
2006-07-03T23:00:00-0000	-113.1667	33.5000	49990117	0.04
2006-07-03T23:00:00-0000	-113.1506	37.1983	490530130	0.064
2006-07-03T23:00:00-0000	-112.8333	33.9814	49990114	0.04
2006-07-03T23:00:00-0000	-112.8006	49.7164	90501	0.044
2006-07-03T23:00:00-0000	-112.5875	33.0000	49990113	0.04
2006-07-03T23:00:00-0000	-112.5875	34.2822	49990118	0.04
2006-07-03T23:00:00-0000	-112.5000	40.3000	499990005	0.05
2006-07-03T23:00:00-0000	-112.5000	41.1000	499990001	0.05
2006-07-03T23:00:00-0000	-112.3394	33.6369	40134010	0.05
2006-07-03T23:00:00-0000	-112.2108	40.7347	490352004	0.064
2006-07-03T23:00:00-0000	-112.2000	42.0000	499990002	0.05
2006-07-03T23:00:00-0000	-112.1914	33.5692	40132001	0.058
2006-07-03T23:00:00-0000	-112.1531	36.0550	40058001	0.062
2006-07-03T23:00:00-0000	-112.1425	33.4836	40130019	0.061
2006-07-03T23:00:00-0000	-112.0731	33.4033	40134003	0.043
2006-07-03T23:00:00-0000	-112.0661	33.5603	40131004	0.064
2006-07-03T23:00:00-0000	-112.0458	33.4578	40133002	0.065
2006-07-03T23:00:00-0000	-112.0322	40.5142	490353008	0.067
2006-07-03T23:00:00-0000	-112.0181	41.4928	490030003	0.053
2006-07-03T23:00:00-0000	-112.0172	33.8217	40134008	0.067
2006-07-03T23:00:00-0000	-111.9869	41.3036	490571003	0.063
2006-07-03T23:00:00-0000	-111.9833	39.8000	499990004	0.05
2006-07-03T23:00:00-0000	-111.9833	41.6167	499990011	0.055
2006-07-03T23:00:00-0000	-111.9831	41.1797	490570007	0.067
2006-07-03T23:00:00-0000	-111.9664	33.0000	49990112	0.04
2006-07-03T23:00:00-0000	-111.9664	34.2822	49990115	0.04
2006-07-03T23:00:00-0000	-111.9347	33.4122	40134005	0.061
2006-07-03T23:00:00-0000	-111.9169	33.4794	40133003	0.061
2006-07-03T23:00:00-0000	-111.8847	40.9033	490110004	0.068
2006-07-03T23:00:00-0000	-111.8842	33.2989	40134004	0.062
2006-07-03T23:00:00-0000	-111.8711	40.7344	490353006	0.087
2006-07-03T23:00:00-0000	-111.8525	33.7122	40132005	0.068
2006-07-03T23:00:00-0000	-111.8375	41.5083	499990010	0.055
2006-07-03T23:00:00-0000	-111.8033	40.4283	490495008	0.054
2006-07-03T23:00:00-0000	-111.7986	33.9828	40139508	0.068
2006-07-03T23:00:00-0000	-111.7331	33.4522	40131010	0.07
2006-07-03T23:00:00-0000	-111.7253	33.6108	40139704	0.075
2006-07-03T23:00:00-0000	-111.6717	33.7186	40139706	0.078
2006-07-03T23:00:00-0000	-111.6631	40.2536	490490002	0.063
2006-07-03T23:00:00-0000	-111.6597	40.1364	490495010	0.059
2006-07-03T23:00:00-0000	-111.6092	33.5453	40139702	0.055
2006-07-03T23:00:00-0000	-111.4128	31.9375	49990123	0.04
2006-07-03T23:00:00-0000	-111.4128	32.3550	49990124	0.04
